id,market,future,baseCurrency,quoteCurrency,type,side,price,size,orderId,time,tradeId,feeRate,fee,feeCurrency,liquidity,ts
769608480,FTT/USD,,FTT,USD,order,sell,11.54,0.1,25381124832,2021-01-31 04:57:24.044654+00:00,383212025,0.0,0.0,USD,maker,1612069044.0446541
769465978,FTT/USD,,FTT,USD,order,sell,11.545,0.1,25379556485,2021-01-31 04:15:31.163032+00:00,383141080,0.0,0.0,USD,maker,1612066531.163032
649901758,FTT/USD,,FTT,USD,order,sell,8.436,0.2,22245683376,2021-01-13 13:11:45.386355+00:00,323623535,0.0,0.0,USD,maker,1610543505.386355
649546489,FTT/USD,,FTT,USD,order,sell,8.457,0.2,22244216408,2021-01-13 11:50:10.687331+00:00,323446353,0.0,0.0,USD,maker,1610538610.687331
648791057,FTT/USD,,FTT,USD,order,sell,8.43,0.2,22224032864,2021-01-13 09:03:32.415096+00:00,323069763,0.0,0.0,USD,maker,1610528612.415096
417481030,FTT/USD,,FTT,USD,order,sell,4.55,1.0,15999238809,2020-11-30 05:28:41.305914+00:00,207810119,-5e-06,-2.275e-05,USD,maker,1606714121.3059142
401634516,FTT/USD,,FTT,USD,order,buy,3.964,1.0,15811753258,2020-11-26 06:48:39.535870+00:00,199906516,-5e-06,-5e-06,FTT,maker,1606373319.5358698
401057028,FTT/USD,,FTT,USD,order,buy,3.894,1.0,15791766433,2020-11-26 04:44:50.983608+00:00,199618317,0.0,0.0,FTT,maker,1606365890.983608
399655172,FTT/USD,,FTT,USD,order,buy,4.05,1.0,15493984525,2020-11-26 03:02:24.692937+00:00,198920773,0.0,0.0,FTT,maker,1606359744.692937
387344887,FTT/USD,,FTT,USD,order,sell,4.281,1.0,15337114593,2020-11-24 01:07:39.769629+00:00,192782202,0.0,0.0,USD,maker,1606180059.769629
381173779,FTT/USD,,FTT,USD,order,sell,4.11,1.0,15072558444,2020-11-22 18:19:49.242288+00:00,189704287,0.0,0.0,USD,maker,1606069189.242288
371821082,FTT/USD,,FTT,USD,order,sell,3.952,1.0,14693918541,2020-11-20 14:40:47.411819+00:00,185040803,0.0,0.0,USD,maker,1605883247.411819
361137848,FTT/USD,,FTT,USD,order,sell,3.805,1.0,13949075170,2020-11-17 12:45:22.813572+00:00,179713253,0.0,0.0,USD,maker,1605617122.8135722
344096862,FTT/USD,,FTT,USD,order,sell,3.67,1.0,13766299527,2020-11-10 09:14:21.007072+00:00,171220245,0.0,0.0,USD,maker,1604999661.007072
339910685,FTT/USD,,FTT,USD,order,sell,3.543,1.0,13680967622,2020-11-08 14:57:05.405085+00:00,169133832,0.0,0.0,USD,maker,1604847425.4050848
338027449,FTT/USD,,FTT,USD,order,buy,3.375,1.0,13499709664,2020-11-07 19:32:05.277750+00:00,168194655,0.0,0.0,FTT,maker,1604777525.27775
331845246,FTT/USD,,FTT,USD,order,sell,3.543,1.0,13327269069,2020-11-05 23:13:15.780584+00:00,165115263,0.0,0.0,USD,maker,1604617995.7805839
327547927,FTT/USD,,FTT,USD,order,buy,3.374,1.0,13170935487,2020-11-04 07:45:40.758413+00:00,162975377,0.0,0.0,FTT,maker,1604475940.758413
323964551,FTT/USD,,FTT,USD,order,buy,3.491,1.0,13137219031,2020-11-02 12:42:01.400409+00:00,161190670,0.0,0.0,FTT,maker,1604320921.400409
322815478,FTT/USD,,FTT,USD,order,buy,3.616,1.0,12904518559,2020-11-01 23:05:20.683711+00:00,160617848,0.0,0.0,FTT,maker,1604271920.683711
317835941,FTT/USD,,FTT,USD,order,buy,3.75,1.0,12868530677,2020-10-30 05:45:47.220261+00:00,158134807,0.0,0.0,FTT,maker,1604036747.220261
316089478,FTT/USD,,FTT,USD,order,buy,3.894,1.0,12820926693,2020-10-29 12:29:36.586319+00:00,157263566,0.0,0.0,FTT,maker,1603974576.5863192
315660642,FTT/USD,,FTT,USD,order,sell,4.121,1.0,12820913750,2020-10-29 08:15:16.972920+00:00,157049733,0.0,0.0,USD,maker,1603959316.9729202
315471564,FTT/USD,,FTT,USD,order,sell,3.953,1.0,12757036176,2020-10-29 05:55:27.310807+00:00,156955425,0.0,0.0,USD,maker,1603950927.310807
313993840,FTT/USD,,FTT,USD,order,buy,3.75,1.0,12685187057,2020-10-28 13:54:00.580017+00:00,156218226,0.0,0.0,FTT,maker,1603893240.5800169
311629171,FTT/USD,,FTT,USD,order,sell,4.07,1.0,12685008978,2020-10-27 16:59:17.951089+00:00,155038706,0.0,0.0,USD,maker,1603817957.951089
311625339,FTT/USD,,FTT,USD,order,sell,4.062,1.0,12684923322,2020-10-27 16:55:54.201600+00:00,155036795,0.0,0.0,USD,maker,1603817754.2016
