id,market,future,baseCurrency,quoteCurrency,type,side,price,size,orderId,time,tradeId,feeRate,fee,feeCurrency,liquidity,ts
2642867177,,,STEP,USD,otc,sell,0.32820532,0.01648081,,2021-06-18 12:42:19.443039+00:00,,0.0,0.0,USD,taker,1624020139.443039
2640719862,STEP/USD,,STEP,USD,order,sell,0.3725,1868.1,57996425115.0,2021-06-18 06:15:52.249762+00:00,1310240736.0,0.0,0.0,USD,maker,1623996952.249762
2640719850,STEP/USD,,STEP,USD,order,sell,0.3725,2623.0,57996425115.0,2021-06-18 06:15:51.853839+00:00,1310240730.0,0.0,0.0,USD,maker,1623996951.8538392
2640719789,STEP/USD,,STEP,USD,order,sell,0.373,616.3,57996425115.0,2021-06-18 06:15:51.434823+00:00,1310240700.0,0.000679,0.1560884521,USD,taker,1623996951.4348228
2640719787,STEP/USD,,STEP,USD,order,sell,0.3735,911.1,57996425115.0,2021-06-18 06:15:51.434823+00:00,1310240699.0,0.000679,0.23106088215,USD,taker,1623996951.4348228
2640719785,STEP/USD,,STEP,USD,order,sell,0.3745,377.2,57996425115.0,2021-06-18 06:15:51.434823+00:00,1310240698.0,0.000679,0.0959164906,USD,taker,1623996951.4348228
2640719783,STEP/USD,,STEP,USD,order,sell,0.3755,19.6,57996425115.0,2021-06-18 06:15:51.434823+00:00,1310240697.0,0.000679,0.0049973042,USD,taker,1623996951.4348228
2640719781,STEP/USD,,STEP,USD,order,sell,0.3755,275.0,57996425115.0,2021-06-18 06:15:51.434823+00:00,1310240696.0,0.000679,0.0701152375,USD,taker,1623996951.4348228
2640719779,STEP/USD,,STEP,USD,order,sell,0.376,244.2,57996425115.0,2021-06-18 06:15:51.434823+00:00,1310240695.0,0.000679,0.0623452368,USD,taker,1623996951.4348228
2603610173,STEP/USD,,STEP,USD,order,sell,0.575,201.5,57077930588.0,2021-06-13 21:39:53.307183+00:00,1291774146.0,0.000679,0.0786706375,USD,taker,1623620393.307183
2603610171,STEP/USD,,STEP,USD,order,sell,0.5755,108.1,57077930588.0,2021-06-13 21:39:53.307183+00:00,1291774145.0,0.000679,0.04224164245,USD,taker,1623620393.307183
2566800408,STEP/USD,,STEP,USD,order,sell,1.095,251.6,56172773352.0,2021-06-10 02:58:25.505979+00:00,1273450668.0,0.0,0.0,USD,maker,1623293905.5059788
2523869727,STEP/USD,,STEP,USD,order,sell,1.185,76.3,55249740279.0,2021-06-06 14:25:01.088658+00:00,1252089044.0,0.000679,0.0613921245,USD,taker,1622989501.0886579
2523869725,STEP/USD,,STEP,USD,order,sell,1.185,16.2,55249740279.0,2021-06-06 14:25:01.088658+00:00,1252089043.0,0.000679,0.013034763,USD,taker,1622989501.0886579
2523864559,STEP/USD,,STEP,USD,order,sell,1.1855,85.0,55249600020.0,2021-06-06 14:23:58.130739+00:00,1252086477.0,0.000679,0.0684211325,USD,taker,1622989438.130739
2496544011,STEP/USD,,STEP,USD,order,sell,1.2325,86.5,54624639786.0,2021-06-04 03:27:10.650075+00:00,1238491412.0,0.000679,0.07238903875,USD,taker,1622777230.650075
2496544009,STEP/USD,,STEP,USD,order,sell,1.233,3.2,54624639786.0,2021-06-04 03:27:10.650075+00:00,1238491411.0,0.000679,0.0026790624,USD,taker,1622777230.650075
2496544007,STEP/USD,,STEP,USD,order,sell,1.2335,20.0,54624639786.0,2021-06-04 03:27:10.650075+00:00,1238491410.0,0.000679,0.01675093,USD,taker,1622777230.650075
2496544005,STEP/USD,,STEP,USD,order,sell,1.2345,1.0,54624639786.0,2021-06-04 03:27:10.650075+00:00,1238491409.0,0.000679,0.0008382255,USD,taker,1622777230.650075
2496544003,STEP/USD,,STEP,USD,order,sell,1.2345,3.2,54624639786.0,2021-06-04 03:27:10.650075+00:00,1238491408.0,0.000679,0.0026823216,USD,taker,1622777230.650075
2496544001,STEP/USD,,STEP,USD,order,sell,1.236,72.6,54624639786.0,2021-06-04 03:27:10.650075+00:00,1238491407.0,0.000679,0.0609291144,USD,taker,1622777230.650075
2466415823,STEP/USD,,STEP,USD,order,sell,1.197,361.3,54005325549.0,2021-06-01 16:12:32.612696+00:00,1223500984.0,0.000679,0.2936512719,USD,taker,1622563952.6126962
2466253118,STEP/USD,,STEP,USD,order,sell,1.1995,7.2,54002272319.0,2021-06-01 16:00:42.872111+00:00,1223419800.0,0.0,0.0,USD,maker,1622563242.872111
2466252014,STEP/USD,,STEP,USD,order,sell,1.1995,0.2,54002272319.0,2021-06-01 16:00:39.847098+00:00,1223419248.0,0.0,0.0,USD,maker,1622563239.847098
2466246508,STEP/USD,,STEP,USD,order,sell,1.1995,16.6,54002272319.0,2021-06-01 16:00:26.776926+00:00,1223416501.0,0.0,0.0,USD,maker,1622563226.776926
2402485795,STEP/USD,,STEP,USD,order,sell,1.169,91.8,52643292044.0,2021-05-28 07:13:48.400113+00:00,1191667590.0,-0.0001,-0.01073142,USD,maker,1622186028.4001129
2375312173,STEP/USD,,STEP,USD,order,sell,1.123,4.9,52060520018.0,2021-05-26 12:21:19.411482+00:00,1178145193.0,-0.0001,-0.00055027,USD,maker,1622031679.411482
2373016775,STEP/USD,,STEP,USD,order,sell,1.123,63.9,52060520018.0,2021-05-26 08:41:12.255739+00:00,1177004246.0,-0.0001,-0.00717597,USD,maker,1622018472.255739
2373000801,STEP/USD,,STEP,USD,order,sell,1.123,0.1,52060520018.0,2021-05-26 08:39:53.502655+00:00,1176996304.0,-0.0001,-1.123e-05,USD,maker,1622018393.502655
2372726170,STEP/USD,,STEP,USD,order,sell,1.1205,0.1,52053577924.0,2021-05-26 08:18:15.488472+00:00,1176859697.0,-0.0001,-1.1205e-05,USD,maker,1622017095.488472
2372712426,STEP/USD,,STEP,USD,order,sell,1.1205,87.1,52053577924.0,2021-05-26 08:17:17.892624+00:00,1176852865.0,-0.0001,-0.009759555,USD,maker,1622017037.892624
2372427870,STEP/USD,,STEP,USD,order,sell,1.1205,0.1,52053577924.0,2021-05-26 08:06:37.795228+00:00,1176711195.0,-0.0001,-1.1205e-05,USD,maker,1622016397.795228
2372297843,STEP/USD,,STEP,USD,order,sell,1.1205,0.1,52053577924.0,2021-05-26 08:01:43.293537+00:00,1176646469.0,-0.0001,-1.1205e-05,USD,maker,1622016103.2935371
2372274235,STEP/USD,,STEP,USD,order,sell,1.1205,66.9,52053577924.0,2021-05-26 07:59:28.263178+00:00,1176634707.0,-0.0001,-0.007496145,USD,maker,1622015968.2631779
2372244551,STEP/USD,,STEP,USD,order,sell,1.1205,0.1,52053577924.0,2021-05-26 07:56:04.928137+00:00,1176619965.0,-0.0001,-1.1205e-05,USD,maker,1622015764.928137
2327550101,STEP/USD,,STEP,USD,order,sell,1.052,99.4,51343319951.0,2021-05-24 03:00:38.660556+00:00,1154375219.0,-0.0001,-0.01045688,USD,maker,1621825238.660556
2299600089,STEP/USD,,STEP,USD,order,sell,1.4265,36.0,50978316388.0,2021-05-23 03:35:41.762709+00:00,1140469174.0,-0.0001,-0.0051354,USD,maker,1621740941.762709
2299597857,STEP/USD,,STEP,USD,order,sell,1.4265,0.1,50978316388.0,2021-05-23 03:35:29.711952+00:00,1140468059.0,-0.0001,-1.4265e-05,USD,maker,1621740929.711952
2299595263,STEP/USD,,STEP,USD,order,sell,1.4265,0.1,50978316388.0,2021-05-23 03:35:13.659039+00:00,1140466770.0,-0.0001,-1.4265e-05,USD,maker,1621740913.659039
2299594053,STEP/USD,,STEP,USD,order,sell,1.4265,0.1,50978316388.0,2021-05-23 03:35:08.070317+00:00,1140466167.0,-0.0001,-1.4265e-05,USD,maker,1621740908.070317
2299591221,STEP/USD,,STEP,USD,order,sell,1.4265,0.1,50978316388.0,2021-05-23 03:34:53.538185+00:00,1140464756.0,-0.0001,-1.4265e-05,USD,maker,1621740893.538185
2299590753,STEP/USD,,STEP,USD,order,sell,1.4265,0.1,50978316388.0,2021-05-23 03:34:49.104257+00:00,1140464522.0,-0.0001,-1.4265e-05,USD,maker,1621740889.104257
2299587445,STEP/USD,,STEP,USD,order,sell,1.4265,0.1,50978316388.0,2021-05-23 03:34:19.617134+00:00,1140462874.0,-0.0001,-1.4265e-05,USD,maker,1621740859.617134
2299552921,STEP/USD,,STEP,USD,order,sell,1.4265,0.1,50978316388.0,2021-05-23 03:30:31.729645+00:00,1140445685.0,-0.0001,-1.4265e-05,USD,maker,1621740631.729645
2280933485,STEP/USD,,STEP,USD,order,buy,1.4,83.2,50643592924.0,2021-05-22 03:38:23.138703+00:00,1131178029.0,-0.0001,-0.00832,STEP,maker,1621654703.138703
2280931962,STEP/USD,,STEP,USD,order,buy,1.4,516.2,50643592924.0,2021-05-22 03:38:18.013454+00:00,1131177270.0,0.000679,0.3504998,STEP,taker,1621654698.0134542
2280931960,STEP/USD,,STEP,USD,order,buy,1.4,1602.7,50643592924.0,2021-05-22 03:38:18.013454+00:00,1131177269.0,0.000679,1.0882333,STEP,taker,1621654698.0134542
2280931958,STEP/USD,,STEP,USD,order,buy,1.399,332.3,50643592924.0,2021-05-22 03:38:18.013454+00:00,1131177268.0,0.000679,0.2256317,STEP,taker,1621654698.0134542
2280931956,STEP/USD,,STEP,USD,order,buy,1.398,0.7,50643592924.0,2021-05-22 03:38:18.013454+00:00,1131177267.0,0.000679,0.0004753,STEP,taker,1621654698.0134542
2280931954,STEP/USD,,STEP,USD,order,buy,1.391,64.9,50643592924.0,2021-05-22 03:38:18.013454+00:00,1131177266.0,0.000679,0.0440671,STEP,taker,1621654698.0134542
2280712422,COPE/USD,,COPE,USD,order,sell,3.972,833.0,50640300456.0,2021-05-22 03:25:54.547351+00:00,1131067792.0,0.000679,2.246591004,USD,taker,1621653954.5473511
