baseCurrency,fee,feeCurrency,feeRate,future,id,liquidity,market,orderId,price,quoteCurrency,side,size,time,tradeId,type
SXPBULL,-5.00E-09,SXPBULL,-5.00E-06,,442060507,maker,SXPBULL/USD,17125384920,70.275,USD,buy,0.001,2020-12-08 01:20:09.067135+00:00,220063976,order
SXPBULL,-5.00E-09,SXPBULL,-5.00E-06,,442099577,maker,SXPBULL/USD,17135340655,71.175,USD,buy,0.001,2020-12-08 01:40:19.307677+00:00,220083466,order
SXPBULL,-5.00E-09,SXPBULL,-5.00E-06,,442099705,maker,SXPBULL/USD,17135357394,71.075,USD,buy,0.001,2020-12-08 01:40:21.902056+00:00,220083530,order
SXPBULL,-5.00E-09,SXPBULL,-5.00E-06,,442121585,maker,SXPBULL/USD,17135362459,70.625,USD,buy,0.001,2020-12-08 01:54:05.919324+00:00,220094449,order
SXPBULL,-5.00E-09,SXPBULL,-5.00E-06,,442280766,maker,SXPBULL/USD,17136034193,69.925,USD,buy,0.001,2020-12-08 03:19:00.537729+00:00,220173896,order
SXPBULL,-3.55E-07,USD,-5.00E-06,,442377692,maker,SXPBULL/USD,17140448951,71.05,USD,sell,0.001,2020-12-08 04:07:22.186075+00:00,220222263,order
SXPBULL,-3.60E-07,USD,-5.00E-06,,442378970,maker,SXPBULL/USD,17142963105,72,USD,sell,0.001,2020-12-08 04:07:59.215798+00:00,220222902,order
SXPBULL,-3.65E-07,USD,-5.00E-06,,442592348,maker,SXPBULL/USD,17142991145,72.95,USD,sell,0.001,2020-12-08 05:52:24.701107+00:00,220329367,order
SXPBULL,-5.00E-09,SXPBULL,-5.00E-06,,442775322,maker,SXPBULL/USD,17149653899,71.825,USD,buy,0.001,2020-12-08 07:11:31.443686+00:00,220420632,order
SXPBULL,-5.00E-09,SXPBULL,-5.00E-06,,442917084,maker,SXPBULL/USD,17156750946,70.3,USD,buy,0.001,2020-12-08 08:20:03.073405+00:00,220491324,order
SXPBULL,-5.00E-09,SXPBULL,-5.00E-06,,442980094,maker,SXPBULL/USD,17156997865,69.7,USD,buy,0.001,2020-12-08 08:39:24.786793+00:00,220522766,order
SXPBULL,-5.00E-09,SXPBULL,-5.00E-06,,442992708,maker,SXPBULL/USD,17158266488,68.975,USD,buy,0.001,2020-12-08 08:41:20.127383+00:00,220529043,order
SXPBULL,-5.00E-09,SXPBULL,-5.00E-06,,443007750,maker,SXPBULL/USD,17158442550,68.1,USD,buy,0.001,2020-12-08 08:44:20.734980+00:00,220536555,order
SXPBULL,-5.00E-09,SXPBULL,-5.00E-06,,443517214,maker,SXPBULL/USD,17171349879,64.525,USD,buy,0.001,2020-12-08 11:00:16.902545+00:00,220790466,order
SXPBULL,-3.35E-07,USD,-5.00E-06,,443722022,maker,SXPBULL/USD,17171375375,66.925,USD,sell,0.001,2020-12-08 12:08:43.107328+00:00,220892651,order
SXPBULL,-5.00E-09,SXPBULL,-5.00E-06,,443729144,maker,SXPBULL/USD,17177239099,66.35,USD,buy,0.001,2020-12-08 12:11:11.827206+00:00,220896208,order
SXPBULL,-5.00E-09,SXPBULL,-5.00E-06,,443986819,maker,SXPBULL/USD,17184529173,66.125,USD,buy,0.001,2020-12-08 13:32:07.186982+00:00,221024726,order
SXPBULL,-3.37E-07,USD,-5.00E-06,,444060125,maker,SXPBULL/USD,17184681181,67.375,USD,sell,0.001,2020-12-08 14:10:27.479529+00:00,221061228,order
SXPBULL,-5.00E-09,SXPBULL,-5.00E-06,,444071819,maker,SXPBULL/USD,17187274579,66.45,USD,buy,0.001,2020-12-08 14:14:01.977248+00:00,221067062,order
SXPBULL,-3.38E-07,USD,-5.00E-06,,444101739,maker,SXPBULL/USD,17187615247,67.575,USD,sell,0.001,2020-12-08 14:28:52.624176+00:00,221081982,order
SXPBULL,-5.00E-09,SXPBULL,-5.00E-06,,444167271,maker,SXPBULL/USD,17188657327,66.45,USD,buy,0.001,2020-12-08 14:57:48.990834+00:00,221114628,order
