id,market,future,baseCurrency,quoteCurrency,type,side,price,size,orderId,time,tradeId,feeRate,fee,feeCurrency,liquidity,ts
3531496631,SOL-PERP,SOL-PERP,,,order,buy,114.875,0.02,75862855076,2021-09-02 11:15:38.531300+00:00,1753151493,0.0,0.0,USD,maker,1630581338.5313
3531308682,SOL-PERP,SOL-PERP,,,order,buy,115.4125,0.02,75859846926,2021-09-02 10:53:58.314259+00:00,1753058286,0.0,0.0,USD,maker,1630580038.314259
3530603507,SOL-PERP,SOL-PERP,,,order,buy,116.1475,0.02,75846474421,2021-09-02 09:28:10.495581+00:00,1752708342,0.0,0.0,USD,maker,1630574890.495581
3530181215,SOL-PERP,SOL-PERP,,,order,sell,117.7975,0.02,75839050345,2021-09-02 08:44:11.179680+00:00,1752498491,0.0,0.0,USD,maker,1630572251.17968
3530180159,SOL-PERP,SOL-PERP,,,order,sell,117.695,0.02,75838972680,2021-09-02 08:44:05.536370+00:00,1752497965,0.0,0.0,USD,maker,1630572245.53637
3529939169,SOL-PERP,SOL-PERP,,,order,sell,117.15,0.02,75834727233,2021-09-02 08:16:21.310294+00:00,1752378345,0.0,0.0,USD,maker,1630570581.310294
3529883795,SOL-PERP,SOL-PERP,,,order,sell,116.1275,0.02,75833857400,2021-09-02 08:10:47.681850+00:00,1752350828,0.0,0.0,USD,maker,1630570247.6818502
3529881839,SOL-PERP,SOL-PERP,,,order,sell,116.0775,0.02,75833818034,2021-09-02 08:10:33.226741+00:00,1752349859,0.0,0.0,USD,maker,1630570233.226741
3529661613,SOL-PERP,SOL-PERP,,,order,buy,114.245,0.02,75830183221,2021-09-02 07:50:31.275750+00:00,1752240341,0.0,0.0,USD,maker,1630569031.27575
3529657519,SOL-PERP,SOL-PERP,,,order,buy,114.3425,0.02,75830168923,2021-09-02 07:50:21.565102+00:00,1752238302,0.0,0.0,USD,maker,1630569021.565102
3529495119,SOL-PERP,SOL-PERP,,,order,buy,114.875,0.02,75827833237,2021-09-02 07:37:47.841365+00:00,1752157593,0.0,0.0,USD,maker,1630568267.841365
3528943769,SOL-PERP,SOL-PERP,,,order,sell,116.685,0.02,75819862934,2021-09-02 06:55:50.183050+00:00,1751883432,0.0,0.0,USD,maker,1630565750.18305
3528941785,SOL-PERP,SOL-PERP,,,order,sell,116.6125,0.02,75819720405,2021-09-02 06:55:45.571389+00:00,1751882441,0.0,0.0,USD,maker,1630565745.571389
3528829582,SOL-PERP,SOL-PERP,,,order,sell,116.0775,0.02,75818185478,2021-09-02 06:47:42.276212+00:00,1751826646,0.0,0.0,USD,maker,1630565262.276212
3528812612,SOL-PERP,SOL-PERP,,,order,sell,115.5475,0.02,75817897855,2021-09-02 06:46:06.526431+00:00,1751818227,0.0,0.0,USD,maker,1630565166.526431
3527191201,SOL-PERP,SOL-PERP,,,order,sell,114.5675,0.02,75793570911,2021-09-02 03:55:37.579866+00:00,1751012012,0.0,0.0,USD,maker,1630554937.5798662
3527189515,SOL-PERP,SOL-PERP,,,order,sell,114.5025,0.02,75793451186,2021-09-02 03:55:28.409400+00:00,1751011173,0.0,0.0,USD,maker,1630554928.4094
3527072054,SOL-PERP,SOL-PERP,,,order,sell,113.5025,0.02,75791790574,2021-09-02 03:40:57.472030+00:00,1750952790,0.0,0.0,USD,maker,1630554057.47203
3527068462,SOL-PERP,SOL-PERP,,,order,sell,113.475,0.02,75791759827,2021-09-02 03:40:40.910102+00:00,1750950999,0.0,0.0,USD,maker,1630554040.9101021
3527044063,SOL-PERP,SOL-PERP,,,order,sell,112.97,0.02,75791461817,2021-09-02 03:38:23.900810+00:00,1750938861,0.0,0.0,USD,maker,1630553903.90081
3526222636,SOL-PERP,SOL-PERP,,,order,buy,110.7525,0.02,75779273118,2021-09-02 02:04:10.780126+00:00,1750530241,0.0,0.0,USD,maker,1630548250.7801259
3525867418,SOL-PERP,SOL-PERP,,,order,sell,112.97,0.02,75775028361,2021-09-02 01:42:15.110369+00:00,1750353350,0.0,0.0,USD,maker,1630546935.110369
3525005629,SOL-PERP,SOL-PERP,,,order,sell,112.1,0.02,75762633120,2021-09-02 00:29:51.722289+00:00,1749924200,0.0,0.0,USD,maker,1630542591.7222888
3525004909,SOL-PERP,SOL-PERP,,,order,sell,111.97,0.02,75762560723,2021-09-02 00:29:49.069040+00:00,1749923836,0.0,0.0,USD,maker,1630542589.06904
3524546781,SOL-PERP,SOL-PERP,,,order,buy,110.1775,0.02,75757587767,2021-09-02 00:04:06.123956+00:00,1749715356,0.0,0.0,USD,maker,1630541046.123956
3524545101,SOL-PERP,SOL-PERP,,,order,buy,110.2575,0.02,75757438821,2021-09-02 00:04:03.142859+00:00,1749714555,0.0,0.0,USD,maker,1630541043.142859
3523198680,SOL-PERP,SOL-PERP,,,order,buy,111.185,0.02,75738364984,2021-09-01 22:10:49.487257+00:00,1749047143,0.0,0.0,USD,maker,1630534249.487257
3523196994,SOL-PERP,SOL-PERP,,,order,buy,111.25,0.02,75738225694,2021-09-01 22:10:45.975645+00:00,1749046305,0.0,0.0,USD,maker,1630534245.9756448
3522483565,SOL-PERP,SOL-PERP,,,order,buy,112.2625,0.02,75727428768,2021-09-01 20:52:16.550619+00:00,1748691750,0.0,0.0,USD,maker,1630529536.550619
3522481867,SOL-PERP,SOL-PERP,,,order,buy,112.775,0.02,75727384870,2021-09-01 20:52:13.246707+00:00,1748690903,0.0,0.0,USD,maker,1630529533.246707
3522476514,SOL-PERP,SOL-PERP,,,order,buy,113.4825,0.02,75727376327,2021-09-01 20:51:53.590564+00:00,1748688236,0.000665,0.00150931725,USD,taker,1630529513.590564
3522475685,SOL-PERP,SOL-PERP,,,order,buy,113.63,0.02,75727327333,2021-09-01 20:51:50.820609+00:00,1748687823,0.0,0.0,USD,maker,1630529510.820609
3522471687,SOL-PERP,SOL-PERP,,,order,buy,113.815,0.02,75727203688,2021-09-01 20:51:26.451293+00:00,1748685837,0.0,0.0,USD,maker,1630529486.451293
3520459139,SOL-PERP,SOL-PERP,,,order,buy,114.855,0.02,75696175305,2021-09-01 17:43:56.747734+00:00,1747685440,0.0,0.0,USD,maker,1630518236.747734
3520456011,SOL-PERP,SOL-PERP,,,order,buy,114.875,0.02,75696056113,2021-09-01 17:43:44.428513+00:00,1747683885,0.0,0.0,USD,maker,1630518224.428513
3519878534,SOL-PERP,SOL-PERP,,,order,sell,117.15,0.02,75688459663,2021-09-01 17:09:48.757910+00:00,1747396767,0.0,0.0,USD,maker,1630516188.75791
3519802648,SOL-PERP,SOL-PERP,,,order,sell,116.6125,0.01,75687532380,2021-09-01 17:05:47.062378+00:00,1747359006,0.0,0.0,USD,maker,1630515947.062378
3519802612,SOL-PERP,SOL-PERP,,,order,sell,116.6125,0.01,75687532380,2021-09-01 17:05:46.997301+00:00,1747358988,0.0,0.0,USD,maker,1630515946.997301
3519541198,SOL-PERP,SOL-PERP,,,order,buy,114.675,0.02,75684890378,2021-09-01 16:54:30.842531+00:00,1747228806,0.0,0.0,USD,maker,1630515270.842531
3519538930,SOL-PERP,SOL-PERP,,,order,buy,114.875,0.02,75684662323,2021-09-01 16:54:24.046401+00:00,1747227674,0.0,0.0,USD,maker,1630515264.046401
3519181034,SOL-PERP,SOL-PERP,,,order,buy,115.7025,0.02,75681696606,2021-09-01 16:44:08.659536+00:00,1747049549,0.0,0.0,USD,maker,1630514648.659536
3519177279,SOL-PERP,SOL-PERP,,,order,buy,115.955,0.02,75681499218,2021-09-01 16:44:04.259449+00:00,1747047680,0.0,0.0,USD,maker,1630514644.259449
3518943784,SOL-PERP,SOL-PERP,,,order,sell,117.7475,0.02,75679104284,2021-09-01 16:35:13.916005+00:00,1746931383,0.0,0.0,USD,maker,1630514113.9160051
3518942234,SOL-PERP,SOL-PERP,,,order,sell,117.695,0.02,75678876183,2021-09-01 16:35:10.092129+00:00,1746930611,0.0,0.0,USD,maker,1630514110.092129
3518652694,SOL-PERP,SOL-PERP,,,order,buy,115.4125,0.02,75675747246,2021-09-01 16:21:24.937224+00:00,1746786609,0.0,0.0,USD,maker,1630513284.937224
3518547036,SOL-PERP,SOL-PERP,,,order,buy,116.49,0.02,75674447380,2021-09-01 16:14:35.483542+00:00,1746734067,0.0,0.0,USD,maker,1630512875.483542
3518542312,SOL-PERP,SOL-PERP,,,order,buy,116.5025,0.02,75674318885,2021-09-01 16:14:13.443296+00:00,1746731724,0.0,0.0,USD,maker,1630512853.443296
3518422413,SOL-PERP,SOL-PERP,,,order,sell,118.2975,0.02,75672945743,2021-09-01 16:06:15.404976+00:00,1746672160,0.0,0.0,USD,maker,1630512375.4049761
3518418395,SOL-PERP,SOL-PERP,,,order,sell,118.245,0.02,75672781049,2021-09-01 16:05:57.766779+00:00,1746670159,0.0,0.0,USD,maker,1630512357.766779
3518362975,SOL-PERP,SOL-PERP,,,order,sell,117.695,0.02,75672180798,2021-09-01 16:03:09.057043+00:00,1746642570,0.0,0.0,USD,maker,1630512189.0570428
