coin,total,free,availableWithoutBorrow,usdValue,spotBorrow,TimeBKK
USD,224.09922036,178.12341786,178.12341786,224.09922036725,0.0,2021-06-06 14:06:00.611881
USD,220.71300287,174.47097287,174.47097287,220.71300287725,0.0,2021-06-06 15:06:00.207819
USD,227.16054775,178.01614053,178.01614053,227.16054775725,0.0,2021-06-06 16:06:00.250032
USD,226.51292207,178.40558457,178.40558457,226.51292207725,0.0,2021-06-06 17:06:00.394478
USD,228.71112806,180.52194056,180.52194056,228.71112806725,0.0,2021-06-06 18:06:00.487891
USD,229.2428471,181.0536596,181.0536596,229.24284710725,0.0,2021-06-06 19:06:00.665609
USD,227.27167934,178.48882184,178.48882184,227.27167934725,0.0,2021-06-06 20:06:00.707675
USD,226.95088787,175.95080725,175.95080725,226.95088787725,0.0,2021-06-06 21:06:00.944222
USD,229.54998824,179.35606325,179.35606325,229.54998824725,0.0,2021-06-06 22:06:00.145212
USD,230.46599008,180.4925988,180.4925988,230.46599008725,0.0,2021-06-06 23:06:00.827058
USD,232.19895383,182.01562895,182.01562895,232.19895383725,0.0,2021-06-07 00:06:00.138434
USD,224.52849787,172.29708787,172.29708787,224.52849787725,0.0,2021-06-07 01:06:00.444183
USD,224.20222377,170.63952427,170.63952427,224.20222377725,0.0,2021-06-07 02:06:00.594129
USD,219.61655667,164.86892667,164.86892667,219.61655667725,0.0,2021-06-07 03:06:00.720840
USD,224.93297997,168.74725456,168.74725456,224.93297997725,0.0,2021-06-07 04:06:00.815711
USD,227.38563803,170.92878303,170.92878303,227.38563803725,0.0,2021-06-07 05:06:00.903626
USD,221.60187667,165.47056417,165.47056417,221.60187667725,0.0,2021-06-07 06:06:00.285225
USD,221.21375419,165.68824669,165.68824669,221.21375419725,0.0,2021-06-07 07:05:58.940072
USD,236.12123384,179.87237932,179.87237932,236.12123384725,0.0,2021-06-07 08:06:00.143948
USD,240.4632855,181.66526251,181.66526251,240.46328550725,0.0,2021-06-07 09:06:00.343835
USD,241.96135891,185.02491565,185.02491565,241.96135891725,0.0,2021-06-07 10:06:00.612468
USD,241.50526375,184.22150125,184.22150125,241.50526375725,0.0,2021-06-07 11:06:00.781876
USD,240.53686076,183.60884576,183.60884576,240.53686076725,0.0,2021-06-07 12:06:00.921240
USD,240.5702441,180.90118825,180.90118825,240.57024410725,0.0,2021-06-07 13:06:00.183461
USD,229.90624974,172.50395974,172.50395974,229.90624974725,0.0,2021-06-07 14:06:00.523027
USD,235.82164692,177.90957386,177.90957386,235.82164692725,0.0,2021-06-07 15:06:00.618810
USD,242.67520078,178.08503753,178.08503753,242.67520078725,0.0,2021-06-07 16:06:00.820913
USD,241.13765585,182.87027085,182.87027085,241.13765585725,0.0,2021-06-07 17:06:00.959907
USD,235.16635743,176.64720993,176.64720993,235.16635743725,0.0,2021-06-07 18:06:00.175121
USD,235.06801535,175.40386535,175.40386535,235.06801535725,0.0,2021-06-07 19:06:00.696293
USD,239.60982911,180.04106911,180.04106911,239.60982911725,0.0,2021-06-07 20:06:00.028952
USD,239.64597995,180.10258995,180.10258995,239.64597995725,0.0,2021-06-07 21:06:00.315856
USD,247.72503632,187.65174147,187.65174147,247.72503632725,0.0,2021-06-07 22:06:00.604911
USD,240.06887234,180.25760234,180.25760234,240.06887234725,0.0,2021-06-07 23:06:00.810709
USD,235.40657607,175.87361607,175.87361607,235.40657607725,0.0,2021-06-08 00:06:01.004647
USD,228.92540883,170.13199883,170.13199883,228.92540883725,0.0,2021-06-08 01:06:00.193183
USD,225.52212877,168.57458876,168.57458876,225.52212877725,0.0,2021-06-08 02:06:00.536650
USD,221.99795064,165.63107241,165.63107241,221.99795064725,0.0,2021-06-08 03:06:00.920108
USD,208.70903522,155.21974772,155.21974772,208.70903522725,0.0,2021-06-08 04:06:00.096782
USD,196.8094025,147.4612775,147.4612775,196.80940250325,0.0,2021-06-08 05:06:00.333716
USD,199.91032736,146.83223446,146.83223446,199.91032736325,0.0,2021-06-08 06:06:00.720449
USD,200.84746816,148.97650185,148.97650185,200.84746816325,0.0,2021-06-08 07:06:00.919652
USD,189.54188864,140.88886364,140.88886364,189.54188864325,0.0,2021-06-08 08:06:00.122806
USD,196.55889467,147.81994467,147.81994467,196.55889467325,0.0,2021-06-08 09:06:00.300088
USD,189.09171731,139.45853231,139.45853231,189.09171731325,0.0,2021-06-08 10:06:00.537299
USD,161.35906621,119.36866621,119.36866621,161.35906621325,0.0,2021-06-08 11:06:00.063240
USD,161.78644631,121.11364631,121.11364631,161.78644631325,0.0,2021-06-08 12:06:00.230627
USD,173.37730938,130.15994086,130.15994086,173.37730938325,0.0,2021-06-08 13:06:00.286601
USD,166.54563342,124.43366092,124.43366092,166.54563342325,0.0,2021-06-08 14:06:00.435975
USD,178.1846867,135.66951109,135.66951109,178.18468670325,0.0,2021-06-08 15:06:00.607518
USD,177.06928163,134.21382914,134.21382914,177.06928163325,0.0,2021-06-08 16:06:00.983197
USD,156.62915437,115.41605277,115.41605277,156.6291543788,0.0,2021-06-08 17:06:00.144593
USD,156.4208575,114.43155455,114.43155455,156.42085750245,0.0,2021-06-08 18:06:00.344248
USD,159.3545396,119.86908776,119.86908776,159.35453960245,0.0,2021-06-08 19:06:00.474129
USD,160.789572,120.20420794,120.20420794,160.78957200245,0.0,2021-06-08 20:06:00.008961
USD,158.30328412,118.53456162,118.53456162,158.30328412245,0.0,2021-06-08 21:06:00.100743
USD,139.47475394,102.39815394,102.39815394,139.47475394245,0.0,2021-06-08 22:06:00.210241
USD,136.71277298,97.46864344,97.46864344,136.71277298245,0.0,2021-06-08 23:06:00.483795
USD,138.60852953,104.52048011,104.52048011,138.60852953245,0.0,2021-06-09 01:37:42.980194
USD,135.40252953,101.94205953,101.94205953,135.40252953245,0.0,2021-06-09 02:06:01.369582
USD,140.92154119,105.65549927,105.65549927,140.92154119245,0.0,2021-06-09 03:06:33.843066
USD,143.8895207,108.51929139,108.51929139,143.88952070245,0.0,2021-06-09 04:06:00.685250
USD,144.2722408,110.4251308,110.4251308,144.27224080245,0.0,2021-06-09 05:06:00.948712
USD,156.21876437,119.20030045,119.20030045,156.21876437245,0.0,2021-06-09 06:12:46.211319
USD,150.44796437,116.32698437,116.32698437,150.44796437245,0.0,2021-06-09 07:08:31.129422
USD,149.55024269,115.49370269,115.49370269,149.55024269245,0.0,2021-06-09 08:06:01.223547
USD,152.14175508,117.97244508,117.97244508,152.14175508245,0.0,2021-06-09 09:06:00.194890
USD,155.72826432,120.97906095,120.97906095,155.72826432245,0.0,2021-06-09 10:06:00.473781
USD,149.41632871,115.44033871,115.44033871,149.41632871245,0.0,2021-06-09 11:43:58.965569
USD,155.82832871,113.0964864,113.0964864,155.82832871245,0.0,2021-06-09 12:06:00.514045
USD,166.12966004,131.03752482,131.03752482,166.12966004245,0.0,2021-06-09 13:06:00.775312
USD,171.69432065,134.61768665,134.61768665,171.69432065245,0.0,2021-06-09 14:06:00.353098
USD,176.82312713,139.74045213,139.74045213,176.82312713205,0.0,2021-06-09 15:06:00.882710
USD,177.4542062,139.1429662,139.1429662,177.45420620205,0.0,2021-06-09 16:06:00.063498
USD,176.78828548,138.50267548,138.50267548,176.78828548205,0.0,2021-06-09 17:06:00.184176
USD,175.09341668,136.53072168,136.53072168,175.09341668205,0.0,2021-06-09 18:06:00.452434
USD,180.07965976,140.51322976,140.51322976,180.07965976205,0.0,2021-06-09 19:06:00.662900
USD,177.51187741,137.18156741,137.18156741,177.51187741205,0.0,2021-06-09 20:06:00.928327
USD,169.19380837,127.46884587,127.46884587,169.19380837205,0.0,2021-06-09 21:06:00.054684
USD,180.36240431,137.68114181,137.68114181,180.36240431205,0.0,2021-06-09 22:06:00.138552
USD,184.77159248,132.04118924,132.04118924,184.77159248205,0.0,2021-06-09 23:06:00.744089
USD,184.30320364,138.40685114,138.40685114,184.30320364205,0.0,2021-06-10 00:06:00.027374
USD,180.85664634,135.15892634,135.15892634,180.85664634205,0.0,2021-06-10 01:06:00.172308
USD,181.63964731,135.92107981,135.92107981,181.63964731205,0.0,2021-06-10 02:06:00.292762
USD,183.29909587,135.50132293,135.50132293,183.29909587205,0.0,2021-06-10 03:06:00.481109
USD,187.0584749,140.78818433,140.78818433,187.05847490205,0.0,2021-06-10 04:06:00.616658
USD,186.56865991,139.97433991,139.97433991,186.56865991205,0.0,2021-06-10 05:06:00.841548
USD,186.00662027,139.35251194,139.35251194,186.00662027205,0.0,2021-06-10 06:06:00.074194
USD,178.92320393,132.29267309,132.29267309,178.92320393205,0.0,2021-06-10 07:06:00.211658
USD,170.64645085,125.91580897,125.91580897,170.64645085205,0.0,2021-06-10 08:06:00.445470
USD,168.54774282,121.60569509,121.60569509,168.54774282205,0.0,2021-06-10 09:06:00.722407
USD,174.73818956,130.96830798,130.96830798,174.7381895638,0.0,2021-06-10 10:06:00.774238
USD,187.03270495,141.92871245,141.92871245,187.0327049538,0.0,2021-06-10 11:06:00.190045
USD,186.87247173,137.73640771,137.73640771,186.8724717338,0.0,2021-06-10 12:32:21.518318
USD,183.53627173,137.73889423,137.73889423,183.5362717338,0.0,2021-06-10 13:06:00.633811
USD,186.73128002,140.09521502,140.09521502,186.7312800238,0.0,2021-06-10 14:06:00.023708
USD,183.23096111,137.49180611,137.49180611,183.2309611138,0.0,2021-06-10 15:06:00.439152
USD,171.99771249,127.30282999,127.30282999,171.9977124938,0.0,2021-06-10 16:06:00.070872
USD,166.67357097,122.71654604,122.71654604,166.6735709738,0.0,2021-06-10 17:06:00.539271
USD,154.85286782,115.09615532,115.09615532,154.8528678238,0.0,2021-06-10 18:06:00.197307
USD,149.29184233,110.63875733,110.63875733,149.2918423338,0.0,2021-06-10 19:06:00.863188
USD,139.47987464,104.25734214,104.25734214,139.4798746438,0.0,2021-06-10 20:06:00.363895
USD,135.35978183,99.62933121,99.62933121,135.3597818338,0.0,2021-06-10 21:06:00.745589
USD,127.51999318,94.82427067,94.82427067,127.5199931838,0.0,2021-06-10 22:06:00.117985
USD,107.29308961,76.42008961,76.42008961,107.29308961465,0.0,2021-06-10 23:06:00.389196
USD,83.10484398,58.50922397,58.50922397,83.10484398465,0.0,2021-06-11 00:06:00.071530
USD,79.55997442,58.97349941,58.97349941,79.55997442945,0.0,2021-06-11 01:06:00.036869
USD,77.82890146,58.02392396,58.02392396,77.82890146945,0.0,2021-06-11 02:06:00.308590
USD,71.28623574,53.07021574,53.07021574,71.28623574945,0.0,2021-06-11 03:06:00.382720
USD,70.50777026,50.82213951,50.82213951,70.5077702629,0.0,2021-06-11 04:06:00.701935
USD,64.42139377,47.77404876,47.77404876,64.4213937729,0.0,2021-06-11 05:06:00.250568
USD,55.72534084,40.73938334,40.73938334,55.7253408429,0.0,2021-06-11 06:06:00.669719
USD,52.56121173,39.11927237,39.11927237,52.5612117329,0.0,2021-06-11 07:05:58.661370
USD,52.81903572,39.59407572,39.59407572,52.8190357229,0.0,2021-06-11 08:06:00.962827
USD,54.12095571,40.77336584,40.77336584,54.1209557129,0.0,2021-06-11 09:06:00.569990
USD,53.18241293,37.81303681,37.81303681,53.1824129329,0.0,2021-06-11 10:06:00.364696
USD,55.15285762,40.85551076,40.85551076,55.1528576229,0.0,2021-06-11 11:06:00.998879
USD,56.11702857,42.22463068,42.22463068,56.1170285729,0.0,2021-06-11 12:06:00.282296
USD,51.7997277,38.08660769,38.08660769,51.7997277029,0.0,2021-06-11 13:06:00.549973
USD,47.98610423,35.32845923,35.32845923,47.9861042329,0.0,2021-06-11 14:06:00.786492
USD,40.41425991,28.0059852,28.0059852,40.4142599129,0.0,2021-06-11 15:06:00.061424
USD,32.75702369,23.71173869,23.71173869,32.7570236929,0.0,2021-06-11 16:06:00.378379
USD,32.72549061,23.47646719,23.47646719,32.7254906129,0.0,2021-06-11 17:06:00.752658
USD,30.04475378,22.09065378,22.09065378,30.0447537829,0.0,2021-06-11 18:06:00.059424
USD,25.66856131,18.6766413,18.6766413,25.6685613129,0.0,2021-06-11 19:06:00.417910
USD,25.53314791,18.9727479,18.9727479,25.5331479129,0.0,2021-06-11 20:06:00.910242
USD,24.32047822,15.38916952,15.38916952,24.3204782229,0.0,2021-06-11 21:06:00.237421
USD,15.93496784,11.01016784,11.01016784,15.9349678457,0.0,2021-06-11 22:06:00.539107
USD,18.16688801,13.59565551,13.59565551,18.1668880183,0.0,2021-06-11 23:06:00.804960
USD,18.58786809,13.89165559,13.89165559,18.5878680983,0.0,2021-06-12 00:06:00.229332
USD,19.32125615,12.37913378,12.37913378,19.3212561583,0.0,2021-06-12 01:06:00.513616
USD,18.56736955,13.33895077,13.33895077,18.5673695583,0.0,2021-06-12 02:06:00.843130
USD,17.89017214,13.33854464,13.33854464,17.8901721483,0.0,2021-06-12 03:06:00.125770
USD,16.35808327,12.19594327,12.19594327,16.3580832783,0.0,2021-06-12 04:06:00.353355
USD,15.99506793,11.90186043,11.90186043,15.9950679383,0.0,2021-06-12 05:06:00.988317
USD,15.45945001,11.45035751,11.45035751,15.4594500183,0.0,2021-06-12 06:06:00.247870
USD,14.99507392,11.14017892,11.14017892,14.9950739283,0.0,2021-06-12 07:06:00.638410
USD,13.50373317,10.13733317,10.13733317,13.50373317205,0.0,2021-06-12 08:06:00.163502
USD,12.98565823,9.28273168,9.28273168,12.98565823205,0.0,2021-06-12 09:06:00.452379
USD,12.63297998,9.47721998,9.47721998,12.63297998205,0.0,2021-06-12 10:06:00.786161
USD,13.05883332,9.78245951,9.78245951,13.05883332205,0.0,2021-06-12 11:06:00.162258
USD,12.95551795,9.68256938,9.68256938,12.95551795205,0.0,2021-06-12 12:06:00.510676
USD,13.1487689,9.52976992,9.52976992,13.14876890205,0.0,2021-06-12 13:06:00.030669
USD,13.09511858,9.74711484,9.74711484,13.09511858205,0.0,2021-06-12 14:06:00.346655
USD,13.03822206,9.74922206,9.74922206,13.03822206205,0.0,2021-06-12 15:06:00.885201
USD,12.62384881,9.3794941,9.3794941,12.62384881205,0.0,2021-06-12 16:06:00.135808
USD,12.69352849,9.44737849,9.44737849,12.69352849205,0.0,2021-06-12 17:06:00.437048
USD,11.69187364,8.64782863,8.64782863,11.69187364205,0.0,2021-06-12 18:06:00.686177
USD,11.81812085,8.58959365,8.58959365,11.81812085205,0.0,2021-06-12 19:06:00.218791
USD,12.0814138,8.93370748,8.93370748,12.08141380205,0.0,2021-06-12 20:06:00.571913
USD,11.59841972,8.63997471,8.63997471,11.59841972205,0.0,2021-06-12 21:06:00.043180
USD,12.7287586,8.67666477,8.67666477,12.72875860205,0.0,2021-06-12 22:06:00.696409
USD,13.16589683,9.75685844,9.75685844,13.16589683205,0.0,2021-06-12 23:06:00.127673
USD,13.37041292,10.09748503,10.09748503,13.37041292205,0.0,2021-06-13 00:06:00.421060
USD,12.60906841,9.41343341,9.41343341,12.60906841205,0.0,2021-06-13 01:06:00.747179
USD,12.31493023,9.01414273,9.01414273,12.31493023205,0.0,2021-06-13 02:06:00.106761
USD,12.37135767,9.21845424,9.21845424,12.37135767205,0.0,2021-06-13 03:06:00.507142
